ID,Nom,Date de début,Date de fin,Durée,Avancée,Responsable,Prédécesseurs,Numéro hiérarchique,Lien internet,Ressources,Notes
69,"  Ecran 1: aide suite et fin",12/11/18,12/11/18,1,0,,68,2.3,,,
70,"  Ecran 1: aide sur bloc non actif",12/11/18,12/11/18,1,0,,,2.4,,,
71,"  Ecran 211 « Heures.A »: aide sur activités régulières et irrégulières",13/11/18,13/11/18,1,0,,70,2.5,,,
72,"  Ecran Aide Subrogation",13/11/18,13/11/18,1,0,,,2.6,,,
73,"  Ecran 212 « Indem.SA » aide attestation sur l'honneur",14/11/18,14/11/18,1,0,,72,2.7,,,
74,"  Ecran Aide Attestation de salaire (A2S)",14/11/18,14/11/18,1,0,,,2.8,,,
75,"  Ecran Aide Bulletins de salaire  (B2S)",15/11/18,15/11/18,1,0,,74,2.9,,,
76,"  Ecran Aide Notif Pôle Emploi",15/11/18,15/11/18,1,0,,,2.10,,,
175,"  Ecran Aide Montant IJ",16/11/18,16/11/18,1,0,,,2.11,,,
39,Apparition des écrans selon arbre de décision,19/11/18,23/11/18,5,0,,76;175,3,,,
3,backoffice gestion des délais par cas,26/11/18,06/12/18,9,0,,39,4,,,
38,"  Choix sauvegardes des paramétrages (fichier json ? base postgresql, sqlite )",26/11/18,26/11/18,1,0,,,4.1,,,
192,"  Ecran Back Office (3 /5 écrans différents)",27/11/18,27/11/18,1,0,,38,4.2,,,
13,"  Gestion Authentification  et autorisation de l'administrateur",28/11/18,29/11/18,2,0,,192,4.3,,,
14,"  Delai de paiement",30/11/18,30/11/18,1,0,,13,4.4,,,
77,"  Adresse postale de la caisse",03/12/18,03/12/18,1,0,,14,4.5,,,
78,"  Délai AE",04/12/18,04/12/18,1,0,,77,4.6,,,
79,"  Délai PJPE",05/12/18,05/12/18,1,0,,78,4.7,,,
15,"  Statistiques (Extraction cvs ou graphiques et tableaux de bord à disposition)",06/12/18,06/12/18,1,0,,79,4.8,,,
36,Css-Desing général,07/12/18,11/12/18,3,0,,15,5,,,
5,Calcul et affichage des délais moyens de traitement,12/12/18,12/12/18,1,0,,36,6,,,
4,Calcul des IJs et affichage des montants estimes,13/12/18,13/12/18,1,0,,5,7,,,
37,Impression résultats,14/12/18,14/12/18,1,0,,4,8,,,
1,Tests unitaires et fonctionnels,09/11/18,11/12/18,23,0,,0,9,,,


ID,Nom,Courriel,Téléphone,Rôle par défaut
0,Alexandre,,,SoftwareDevelopment:2
1,Damien,,,SoftwareDevelopment:2
